S.No.,Name of Indian Agent,Name of Manufacturer,%$$%Name of the Device,File No.,,R. C. No.,"Date of
Issue","Validity of
the
Registration
Certificate",,
61,"M/s. Johnson & Johnson
Ltd., J-1, Shree Arihant
Complex, Village-Kalher,","M/s. Ethicon LLC., 475 C
Street, Los Fralies Industrial
Park, Guaynabo, Puerto Rico","0) Synthetic Absorbable
Suture/Sutures","31-1092-MD/2012-DC
(Re-Reg. 01)",,MD-1092,12.02.2015,31.07.2018,,
,"Thane- Bhiwandi Road,
Distt. Thane, Bhiwandi","00969, USA
Having manufacturing site at
M/s. Johnson & Johnson do
Brasil Industria E Commerce
De Productos Para Saude
Ltda., Presidente Dutra, KM
154, Sao Jose Dos Campos,
Sao Paulo, Brasil, CEP
12240-908",%$$%,,,,,,,
62,"M/s. St. Jude Medical India
Pvt. Ltd.,D. No.8-3-
168/B/1, Plot No.18 & 19,
laxmi Nagar,Behind
T.B.Hospital, MCH Circle-5
Mandal, Hyderabad","M/s. St. Jude Medical, 14901
DeVeau Place, Minnetonka,
MN-55345-2126, USA",%$$%,"31-22(A)-MD/2006-DC
(Re-Reg. 03) 2015",,MD-22(A),12.02.2015,30.06.2018,,
62,"M/s. St. Jude Medical India
Pvt. Ltd.,D. No.8-3-
168/B/1, Plot No.18 & 19,
laxmi Nagar,Behind
T.B.Hospital, MCH Circle-5
Mandal, Hyderabad","M/s. St. Jude Medical, 14901
DeVeau Place, Minnetonka,
MN-55345-2126, USA"," Pacel™ Bioplar Pacing
Catheter/Catheter
","31-22(A)-MD/2006-DC
(Re-Reg. 03) 2015",,MD-22(A),12.02.2015,30.06.2018,,
62,"M/s. St. Jude Medical India
Pvt. Ltd.,D. No.8-3-
168/B/1, Plot No.18 & 19,
laxmi Nagar,Behind
T.B.Hospital, MCH Circle-5
Mandal, Hyderabad","M/s. St. Jude Medical, 14901
DeVeau Place, Minnetonka,
MN-55345-2126, USA"," Angio-Seal™ Vascular
Closure Device STS PLUS
Platform/Vascular Closure
Device
","31-22(A)-MD/2006-DC
(Re-Reg. 03) 2015",,MD-22(A),12.02.2015,30.06.2018,,
62,"M/s. St. Jude Medical India
Pvt. Ltd.,D. No.8-3-
168/B/1, Plot No.18 & 19,
laxmi Nagar,Behind
T.B.Hospital, MCH Circle-5
Mandal, Hyderabad","M/s. St. Jude Medical, 14901
DeVeau Place, Minnetonka,
MN-55345-2126, USA"," Angio-Seal™ Vascular
Closure Device VIP
Platform/Vascular Closure
Device
","31-22(A)-MD/2006-DC
(Re-Reg. 03) 2015",,MD-22(A),12.02.2015,30.06.2018,,
62,"M/s. St. Jude Medical India
Pvt. Ltd.,D. No.8-3-
168/B/1, Plot No.18 & 19,
laxmi Nagar,Behind
T.B.Hospital, MCH Circle-5
Mandal, Hyderabad","M/s. St. Jude Medical, 14901
DeVeau Place, Minnetonka,
MN-55345-2126, USA"," Angio-Seal™ Evolution
Vascular Closure
Device/Vascular Closure
Device
","31-22(A)-MD/2006-DC
(Re-Reg. 03) 2015",,MD-22(A),12.02.2015,30.06.2018,,
62,"M/s. St. Jude Medical India
Pvt. Ltd.,D. No.8-3-
168/B/1, Plot No.18 & 19,
laxmi Nagar,Behind
T.B.Hospital, MCH Circle-5
Mandal, Hyderabad","M/s. St. Jude Medical, 14901
DeVeau Place, Minnetonka,
MN-55345-2126, USA"," Fast-Cath™ Hemostasis
Introducer
","31-22(A)-MD/2006-DC
(Re-Reg. 03) 2015",,MD-22(A),12.02.2015,30.06.2018,,
62,"M/s. St. Jude Medical India
Pvt. Ltd.,D. No.8-3-
168/B/1, Plot No.18 & 19,
laxmi Nagar,Behind
T.B.Hospital, MCH Circle-5
Mandal, Hyderabad","M/s. St. Jude Medical, 14901
DeVeau Place, Minnetonka,
MN-55345-2126, USA"," Fast-Cath™ Duo
Hemostasis Introducer
","31-22(A)-MD/2006-DC
(Re-Reg. 03) 2015",,MD-22(A),12.02.2015,30.06.2018,,
62,"M/s. St. Jude Medical India
Pvt. Ltd.,D. No.8-3-
168/B/1, Plot No.18 & 19,
laxmi Nagar,Behind
T.B.Hospital, MCH Circle-5
Mandal, Hyderabad","M/s. St. Jude Medical, 14901
DeVeau Place, Minnetonka,
MN-55345-2126, USA"," Fast-Cath™ Trio
Hemostasis Introducer
","31-22(A)-MD/2006-DC
(Re-Reg. 03) 2015",,MD-22(A),12.02.2015,30.06.2018,,
62,"M/s. St. Jude Medical India
Pvt. Ltd.,D. No.8-3-
168/B/1, Plot No.18 & 19,
laxmi Nagar,Behind
T.B.Hospital, MCH Circle-5
Mandal, Hyderabad","M/s. St. Jude Medical, 14901
DeVeau Place, Minnetonka,
MN-55345-2126, USA"," GuideRight™ Guidewire
","31-22(A)-MD/2006-DC
(Re-Reg. 03) 2015",,MD-22(A),12.02.2015,30.06.2018,,
62,"M/s. St. Jude Medical India
Pvt. Ltd.,D. No.8-3-
168/B/1, Plot No.18 & 19,
laxmi Nagar,Behind
T.B.Hospital, MCH Circle-5
Mandal, Hyderabad","M/s. St. Jude Medical, 14901
DeVeau Place, Minnetonka,
MN-55345-2126, USA"," Luer Cap; Hemostais Valve
Adapter; Vessel Dilator;
Repositioning Sleeve; Sheath
Obturator; Contamination
Cover/Protective
Cap/Accessories
","31-22(A)-MD/2006-DC
(Re-Reg. 03) 2015",,MD-22(A),12.02.2015,30.06.2018,,
62,"M/s. St. Jude Medical India
Pvt. Ltd.,D. No.8-3-
168/B/1, Plot No.18 & 19,
laxmi Nagar,Behind
T.B.Hospital, MCH Circle-5
Mandal, Hyderabad","M/s. St. Jude Medical, 14901
DeVeau Place, Minnetonka,
MN-55345-2126, USA",". Engage™ Introducer
","31-22(A)-MD/2006-DC
(Re-Reg. 03) 2015",,MD-22(A),12.02.2015,30.06.2018,,
62,"M/s. St. Jude Medical India
Pvt. Ltd.,D. No.8-3-
168/B/1, Plot No.18 & 19,
laxmi Nagar,Behind
T.B.Hospital, MCH Circle-5
Mandal, Hyderabad","M/s. St. Jude Medical, 14901
DeVeau Place, Minnetonka,
MN-55345-2126, USA",". Engage™ TR Introducer
","31-22(A)-MD/2006-DC
(Re-Reg. 03) 2015",,MD-22(A),12.02.2015,30.06.2018,,
62,"M/s. St. Jude Medical India
Pvt. Ltd.,D. No.8-3-
168/B/1, Plot No.18 & 19,
laxmi Nagar,Behind
T.B.Hospital, MCH Circle-5
Mandal, Hyderabad","M/s. St. Jude Medical, 14901
DeVeau Place, Minnetonka,
MN-55345-2126, USA",. EnligHTN/Guiding,"31-22(A)-MD/2006-DC
(Re-Reg. 03) 2015",,MD-22(A),12.02.2015,30.06.2018,,
,,,"%$$%Catheter
",,,,,,,
,,,". Livewire™ Diagnostic
Catheter MediGuide
Enabled™",,,,,,,
63,"M/s. Emergo (India)
Consulting Private Limited.,
H. No. 8/1, First Floor,
Vasavi Colony Kakaguda,
Near Picket,
Secunderabad, MCH
Circle-7, Mandal,
Hyderabad Dist.","M/s. Geistlilch Pharma AG
Bahnohfstrasse 40, 6110
Wolhusen, Switzerland",%$$%,31-1490-MD/2014-DC,,MD-1490,12.02.2015,15.01.2018,,
63,"M/s. Emergo (India)
Consulting Private Limited.,
H. No. 8/1, First Floor,
Vasavi Colony Kakaguda,
Near Picket,
Secunderabad, MCH
Circle-7, Mandal,
Hyderabad Dist.","M/s. Geistlilch Pharma AG
Bahnohfstrasse 40, 6110
Wolhusen, Switzerland"," Geistlich Bio-
Gide/Resorbable Bilayer
Membrane
",31-1490-MD/2014-DC,,MD-1490,12.02.2015,15.01.2018,,
63,"M/s. Emergo (India)
Consulting Private Limited.,
H. No. 8/1, First Floor,
Vasavi Colony Kakaguda,
Near Picket,
Secunderabad, MCH
Circle-7, Mandal,
Hyderabad Dist.","M/s. Geistlilch Pharma AG
Bahnohfstrasse 40, 6110
Wolhusen, Switzerland"," Geistlich Bio-Oss Granules
and Block/Spongious Bone
Sustitute
",31-1490-MD/2014-DC,,MD-1490,12.02.2015,15.01.2018,,
63,"M/s. Emergo (India)
Consulting Private Limited.,
H. No. 8/1, First Floor,
Vasavi Colony Kakaguda,
Near Picket,
Secunderabad, MCH
Circle-7, Mandal,
Hyderabad Dist.","M/s. Geistlilch Pharma AG
Bahnohfstrasse 40, 6110
Wolhusen, Switzerland"," Geistlich Bio-Oss
Pen/Spongious Bone
Sustitute",31-1490-MD/2014-DC,,MD-1490,12.02.2015,15.01.2018,,
64,"M/s. Boston Scientific India
Pvt. Ltd., C-41 Ground
Floor, Okhla Industrial Area
Phase-II, New Delhi-20.","M/s. Creganna Tactx Medical,
Parkmore West, Galway",%$$%,31-1557-MD/2014-DC,,MD-1557,13.02.2015,31.01.2018,,
64,"M/s. Boston Scientific India
Pvt. Ltd., C-41 Ground
Floor, Okhla Industrial Area
Phase-II, New Delhi-20.","M/s. Creganna Tactx Medical,
Parkmore West, Galway"," Zurpaz Steerable
Sheath/Steerable Sheath",31-1557-MD/2014-DC,,MD-1557,13.02.2015,31.01.2018,,
65,"M/s. Serum Institute of
India Limited 212/2,
Hadapsar, Pune-411028","M/s. PharmaJect Inc., 400
Corporate Circle, Suite N
Golden, Colorado 80401 USA
Having manufacturing
premises at
M/s. Phillips Plastics
Corporation, 415 Red Cedar
Street, Menomonie,
Wisconsin 54751, USA",%$$%,31-1457-MD/2014-DC,,MD-1457,13.02.2015,15.01.2018,,
65,"M/s. Serum Institute of
India Limited 212/2,
Hadapsar, Pune-411028","M/s. PharmaJect Inc., 400
Corporate Circle, Suite N
Golden, Colorado 80401 USA
Having manufacturing
premises at
M/s. Phillips Plastics
Corporation, 415 Red Cedar
Street, Menomonie,
Wisconsin 54751, USA"," PharmaJet Statis Needle-
Free Syringe (Single-
Up)/Needle-Free Injection
",31-1457-MD/2014-DC,,MD-1457,13.02.2015,15.01.2018,,
65,"M/s. Serum Institute of
India Limited 212/2,
Hadapsar, Pune-411028","M/s. PharmaJect Inc., 400
Corporate Circle, Suite N
Golden, Colorado 80401 USA
Having manufacturing
premises at
M/s. Phillips Plastics
Corporation, 415 Red Cedar
Street, Menomonie,
Wisconsin 54751, USA"," PharmaJet Stratis Needle-
Free Syringe (",31-1457-MD/2014-DC,,MD-1457,13.02.2015,15.01.2018,,
65,"M/s. Serum Institute of
India Limited 212/2,
Hadapsar, Pune-411028","M/s. PharmaJect Inc., 400
Corporate Circle, Suite N
Golden, Colorado 80401 USA
Having manufacturing
premises at
M/s. Phillips Plastics
Corporation, 415 Red Cedar
Street, Menomonie,
Wisconsin 54751, USA","-Up)/Needle-
Free Injection
",31-1457-MD/2014-DC,,MD-1457,13.02.2015,15.01.2018,,
65,"M/s. Serum Institute of
India Limited 212/2,
Hadapsar, Pune-411028","M/s. PharmaJect Inc., 400
Corporate Circle, Suite N
Golden, Colorado 80401 USA
Having manufacturing
premises at
M/s. Phillips Plastics
Corporation, 415 Red Cedar
Street, Menomonie,
Wisconsin 54751, USA"," PharmaJet Stratis Filing
Adapter (Single-Up) Filling
Adapter",31-1457-MD/2014-DC,,MD-1457,13.02.2015,15.01.2018,,
66,"M/s. India Medtornic Pvt.
Ltd. Plot No. 609,
Survery/Shed-188 (Part),
Chamunda Comp.,
Kasheli Village, Dist Thane
Bhiwandi-401301,
Maharashtra.","M/s. Changzhou Kanghui
Medical Innovation Co., Ltd.
No. 11 North Changjiang
Road, Xienbei Zone,
Changzhou, Jiangsu China
213022",%$$%,31-1461-MD/2014-DC,,MD-1461,16.02.2015,31.01.2018,,
66,"M/s. India Medtornic Pvt.
Ltd. Plot No. 609,
Survery/Shed-188 (Part),
Chamunda Comp.,
Kasheli Village, Dist Thane
Bhiwandi-401301,
Maharashtra.","M/s. Changzhou Kanghui
Medical Innovation Co., Ltd.
No. 11 North Changjiang
Road, Xienbei Zone,
Changzhou, Jiangsu China
213022"," Bone Plates (Non Sterile)-
Platinum
",31-1461-MD/2014-DC,,MD-1461,16.02.2015,31.01.2018,,
66,"M/s. India Medtornic Pvt.
Ltd. Plot No. 609,
Survery/Shed-188 (Part),
Chamunda Comp.,
Kasheli Village, Dist Thane
Bhiwandi-401301,
Maharashtra.","M/s. Changzhou Kanghui
Medical Innovation Co., Ltd.
No. 11 North Changjiang
Road, Xienbei Zone,
Changzhou, Jiangsu China
213022"," Bone Plates (Non Sterile)-
Titanium
",31-1461-MD/2014-DC,,MD-1461,16.02.2015,31.01.2018,,
66,"M/s. India Medtornic Pvt.
Ltd. Plot No. 609,
Survery/Shed-188 (Part),
Chamunda Comp.,
Kasheli Village, Dist Thane
Bhiwandi-401301,
Maharashtra.","M/s. Changzhou Kanghui
Medical Innovation Co., Ltd.
No. 11 North Changjiang
Road, Xienbei Zone,
Changzhou, Jiangsu China
213022"," Bone Screws (Non Sterile)
",31-1461-MD/2014-DC,,MD-1461,16.02.2015,31.01.2018,,
66,"M/s. India Medtornic Pvt.
Ltd. Plot No. 609,
Survery/Shed-188 (Part),
Chamunda Comp.,
Kasheli Village, Dist Thane
Bhiwandi-401301,
Maharashtra.","M/s. Changzhou Kanghui
Medical Innovation Co., Ltd.
No. 11 North Changjiang
Road, Xienbei Zone,
Changzhou, Jiangsu China
213022"," Intramedullalry Nails (Non
Sterile)-Stainless Steel
",31-1461-MD/2014-DC,,MD-1461,16.02.2015,31.01.2018,,
66,"M/s. India Medtornic Pvt.
Ltd. Plot No. 609,
Survery/Shed-188 (Part),
Chamunda Comp.,
Kasheli Village, Dist Thane
Bhiwandi-401301,
Maharashtra.","M/s. Changzhou Kanghui
Medical Innovation Co., Ltd.
No. 11 North Changjiang
Road, Xienbei Zone,
Changzhou, Jiangsu China
213022"," Intramedullary Nails (Non
Sterile)-Titanium Alloy
",31-1461-MD/2014-DC,,MD-1461,16.02.2015,31.01.2018,,
66,"M/s. India Medtornic Pvt.
Ltd. Plot No. 609,
Survery/Shed-188 (Part),
Chamunda Comp.,
Kasheli Village, Dist Thane
Bhiwandi-401301,
Maharashtra.","M/s. Changzhou Kanghui
Medical Innovation Co., Ltd.
No. 11 North Changjiang
Road, Xienbei Zone,
Changzhou, Jiangsu China
213022"," General Spine System
(Non Sterile)
",31-1461-MD/2014-DC,,MD-1461,16.02.2015,31.01.2018,,
66,"M/s. India Medtornic Pvt.
Ltd. Plot No. 609,
Survery/Shed-188 (Part),
Chamunda Comp.,
Kasheli Village, Dist Thane
Bhiwandi-401301,
Maharashtra.","M/s. Changzhou Kanghui
Medical Innovation Co., Ltd.
No. 11 North Changjiang
Road, Xienbei Zone,
Changzhou, Jiangsu China
213022", KPB Kyphoplastly,31-1461-MD/2014-DC,,MD-1461,16.02.2015,31.01.2018,,
,,,"%$$%System/Kyphoplalsty Balloon
Tube
",,,,,,,
,,," Wires & Pins/Bone Pins
(Non Sterile)
",,,,,,,
,,," External Fixator
System/External Fixators
(Non Sterile)",,,,,,,
67,"M/s. Johnson & Johnson
Ltd., A-1/50, Room No.2,
100 Shed Area, G.I.D.C.,
Vapi, Tal: Pardi (Valsad)","M/s. Medos Sarl, Rue du
Puits, Godet 20 Neuchatel,
Switzerland",%$$%,"31-1141-MD/2012-DC
(End. 01)",,MD-1141,16.02.2015,15.0702016,,
67,"M/s. Johnson & Johnson
Ltd., A-1/50, Room No.2,
100 Shed Area, G.I.D.C.,
Vapi, Tal: Pardi (Valsad)","M/s. Medos Sarl, Rue du
Puits, Godet 20 Neuchatel,
Switzerland", ORTHOCORD/Suture,"31-1141-MD/2012-DC
(End. 01)",,MD-1141,16.02.2015,15.0702016,,
68,"M/s. St. Jude Medical India
Pvt. Ltd. D.No. 8-3-168/B/1
Plot No. 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circle-5
Mandal Hyderabad Dist.","M/s. St. Jude Medical 177
Country Road B E, Saint
Paul, MN, USA 55117",%$$%,"31-26-MD/2006-DC (Re-
Reg. 03)",,MD-26,16.02.2015,30.06.2018,,
68,"M/s. St. Jude Medical India
Pvt. Ltd. D.No. 8-3-168/B/1
Plot No. 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circle-5
Mandal Hyderabad Dist.","M/s. St. Jude Medical 177
Country Road B E, Saint
Paul, MN, USA 55117"," SJM Mechanical Heart
Valve SJM Master Series
(Rotatable)-Aortic
","31-26-MD/2006-DC (Re-
Reg. 03)",,MD-26,16.02.2015,30.06.2018,,
68,"M/s. St. Jude Medical India
Pvt. Ltd. D.No. 8-3-168/B/1
Plot No. 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circle-5
Mandal Hyderabad Dist.","M/s. St. Jude Medical 177
Country Road B E, Saint
Paul, MN, USA 55117"," SJM Mechanical Heart
Valve-SJM Master Series
(Rotatable)-Mitral
","31-26-MD/2006-DC (Re-
Reg. 03)",,MD-26,16.02.2015,30.06.2018,,
68,"M/s. St. Jude Medical India
Pvt. Ltd. D.No. 8-3-168/B/1
Plot No. 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circle-5
Mandal Hyderabad Dist.","M/s. St. Jude Medical 177
Country Road B E, Saint
Paul, MN, USA 55117"," SJM Mechanical Heart
Valve-SJM Master Series
(Rotatable)-Aortic
Hemodynamic Plus
","31-26-MD/2006-DC (Re-
Reg. 03)",,MD-26,16.02.2015,30.06.2018,,
68,"M/s. St. Jude Medical India
Pvt. Ltd. D.No. 8-3-168/B/1
Plot No. 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circle-5
Mandal Hyderabad Dist.","M/s. St. Jude Medical 177
Country Road B E, Saint
Paul, MN, USA 55117"," SJM Mechanical Heart
Valve (Non Rotatale)-Aortic
","31-26-MD/2006-DC (Re-
Reg. 03)",,MD-26,16.02.2015,30.06.2018,,
68,"M/s. St. Jude Medical India
Pvt. Ltd. D.No. 8-3-168/B/1
Plot No. 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circle-5
Mandal Hyderabad Dist.","M/s. St. Jude Medical 177
Country Road B E, Saint
Paul, MN, USA 55117"," SJM Mechanical Heart
Valve (Non Rotatable)-Mitral
","31-26-MD/2006-DC (Re-
Reg. 03)",,MD-26,16.02.2015,30.06.2018,,
68,"M/s. St. Jude Medical India
Pvt. Ltd. D.No. 8-3-168/B/1
Plot No. 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circle-5
Mandal Hyderabad Dist.","M/s. St. Jude Medical 177
Country Road B E, Saint
Paul, MN, USA 55117"," SJM Reagent Mechanical
Heart Valve (Rotatable)
","31-26-MD/2006-DC (Re-
Reg. 03)",,MD-26,16.02.2015,30.06.2018,,
68,"M/s. St. Jude Medical India
Pvt. Ltd. D.No. 8-3-168/B/1
Plot No. 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circle-5
Mandal Hyderabad Dist.","M/s. St. Jude Medical 177
Country Road B E, Saint
Paul, MN, USA 55117"," SJM Master Series Coated
Aortic Valved Graft
(Rotatable)
","31-26-MD/2006-DC (Re-
Reg. 03)",,MD-26,16.02.2015,30.06.2018,,
68,"M/s. St. Jude Medical India
Pvt. Ltd. D.No. 8-3-168/B/1
Plot No. 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circle-5
Mandal Hyderabad Dist.","M/s. St. Jude Medical 177
Country Road B E, Saint
Paul, MN, USA 55117"," SJM Tailor Annuloplasty
Ring
","31-26-MD/2006-DC (Re-
Reg. 03)",,MD-26,16.02.2015,30.06.2018,,
68,"M/s. St. Jude Medical India
Pvt. Ltd. D.No. 8-3-168/B/1
Plot No. 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circle-5
Mandal Hyderabad Dist.","M/s. St. Jude Medical 177
Country Road B E, Saint
Paul, MN, USA 55117"," SJM Rigid Saddle
Annuloplasty Ring
","31-26-MD/2006-DC (Re-
Reg. 03)",,MD-26,16.02.2015,30.06.2018,,
68,"M/s. St. Jude Medical India
Pvt. Ltd. D.No. 8-3-168/B/1
Plot No. 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circle-5
Mandal Hyderabad Dist.","M/s. St. Jude Medical 177
Country Road B E, Saint
Paul, MN, USA 55117",". Attune™ Flexible
Adjustable Annuloplasty Ring
","31-26-MD/2006-DC (Re-
Reg. 03)",,MD-26,16.02.2015,30.06.2018,,
68,"M/s. St. Jude Medical India
Pvt. Ltd. D.No. 8-3-168/B/1
Plot No. 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circle-5
Mandal Hyderabad Dist.","M/s. St. Jude Medical 177
Country Road B E, Saint
Paul, MN, USA 55117",". AJM Seguin Annuloplasty
Ring
","31-26-MD/2006-DC (Re-
Reg. 03)",,MD-26,16.02.2015,30.06.2018,,
68,"M/s. St. Jude Medical India
Pvt. Ltd. D.No. 8-3-168/B/1
Plot No. 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circle-5
Mandal Hyderabad Dist.","M/s. St. Jude Medical 177
Country Road B E, Saint
Paul, MN, USA 55117",. Trifecta™ Valve Aortic,"31-26-MD/2006-DC (Re-
Reg. 03)",,MD-26,16.02.2015,30.06.2018,,
,,,%$$%(,,,,,,,
,,,mm -,,,,,,,
,,,mm),,,,,,,
69,"M/s. Reckitt Benckiser
(India) Pvt. Ltd., C/o Toll
Logistics (India) Pvt. Ltd.,
82, Panapakkam Village,
Periyapalayam High Road,
Uthukottai Taluk,
Thiruvallur-601102","M/s. Reckitt Healthcare (UK)
Ltd., Danson Lane Hull, HU8
7DS, United Kingdom
Having manufacturing site at
M/s. Qiagndo London Durex
Co., Ltd., No 1-13 Shangma
Part, Aodong Road High-
Tech Industrial Development
Zone Qingdao, China-266114",%$$%,31-1407-MD/2013-DC,,MD-1407,19.02.2015,31.02.2018,,
69,"M/s. Reckitt Benckiser
(India) Pvt. Ltd., C/o Toll
Logistics (India) Pvt. Ltd.,
82, Panapakkam Village,
Periyapalayam High Road,
Uthukottai Taluk,
Thiruvallur-601102","M/s. Reckitt Healthcare (UK)
Ltd., Danson Lane Hull, HU8
7DS, United Kingdom
Having manufacturing site at
M/s. Qiagndo London Durex
Co., Ltd., No 1-13 Shangma
Part, Aodong Road High-
Tech Industrial Development
Zone Qingdao, China-266114"," Natual Rubber Latex
Condoms",31-1407-MD/2013-DC,,MD-1407,19.02.2015,31.02.2018,,
70,"M/s. Osstem Implant India
Private Limited, Office No.
418, 4th Floor, A Wing,
""Sagar Tech Plaza"",
Sakinaka, Andheri-Kurla
Road, Andheri (E),
Mumbai-400072","M/s. Osstem Implatn Co., Ltd.
2013, Geoje-daero, Yeonje-
gu, Busan, 611-804, Korea",%$$%,"31-965-MD/2011-DC
(Re-Reg. 01)",,MD-965,19.02.2015,31.01.2018,,
70,"M/s. Osstem Implant India
Private Limited, Office No.
418, 4th Floor, A Wing,
""Sagar Tech Plaza"",
Sakinaka, Andheri-Kurla
Road, Andheri (E),
Mumbai-400072","M/s. Osstem Implatn Co., Ltd.
2013, Geoje-daero, Yeonje-
gu, Busan, 611-804, Korea"," Dental Implant Fixtures
","31-965-MD/2011-DC
(Re-Reg. 01)",,MD-965,19.02.2015,31.01.2018,,
70,"M/s. Osstem Implant India
Private Limited, Office No.
418, 4th Floor, A Wing,
""Sagar Tech Plaza"",
Sakinaka, Andheri-Kurla
Road, Andheri (E),
Mumbai-400072","M/s. Osstem Implatn Co., Ltd.
2013, Geoje-daero, Yeonje-
gu, Busan, 611-804, Korea"," Dental Impant System
Prosthetics","31-965-MD/2011-DC
(Re-Reg. 01)",,MD-965,19.02.2015,31.01.2018,,
71,"M/s. Biotronik Medical
Devices India Pvt. Ltd.,
Unit No. 805, 806 & 807,
8th Floor, Commerical
Complex DLF Tower-B
Jasola, New Delhi-110044","M/s Biotronik AG Ackerstasse
6, 8180 Bulach, Switzerland",%$$%,"31-461-MD/2008-DC
(Re-Reg. 02) End. 02",,MD-461,19.02.2015,30.04.2017,,
71,"M/s. Biotronik Medical
Devices India Pvt. Ltd.,
Unit No. 805, 806 & 807,
8th Floor, Commerical
Complex DLF Tower-B
Jasola, New Delhi-110044","M/s Biotronik AG Ackerstasse
6, 8180 Bulach, Switzerland"," Synsiro/Sirolimus Eluting
Coronary Stent System","31-461-MD/2008-DC
(Re-Reg. 02) End. 02",,MD-461,19.02.2015,30.04.2017,,
72,"M/s. Bard India Healthcare
Pvt. Ltd., 501,5th
Floor,HubtownSolaris, N.
S. Pahdke Marg, Andheri
E, Mumbai-400069","M/s. Davol Inc., Subsidiary of
C.R. Bard Inc., 100 Crossings
Boulevard Warwick, Rhode
Island, USA 02886 Having
manufacturing site at
M/s. Bard Shannon Ltd., San
Geronimo Industrial Park Lot
# 1, Road # 3, KM 79.7,
Humacao, Puerto Rico 00791",%$$%,"31-1349-MD/2013-DC
(End. 02)",,MD-1349,20.02.2015,15.01.2017,,
72,"M/s. Bard India Healthcare
Pvt. Ltd., 501,5th
Floor,HubtownSolaris, N.
S. Pahdke Marg, Andheri
E, Mumbai-400069","M/s. Davol Inc., Subsidiary of
C.R. Bard Inc., 100 Crossings
Boulevard Warwick, Rhode
Island, USA 02886 Having
manufacturing site at
M/s. Bard Shannon Ltd., San
Geronimo Industrial Park Lot
# 1, Road # 3, KM 79.7,
Humacao, Puerto Rico 00791"," PerFix™ Light Plug/Mesh
","31-1349-MD/2013-DC
(End. 02)",,MD-1349,20.02.2015,15.01.2017,,
72,"M/s. Bard India Healthcare
Pvt. Ltd., 501,5th
Floor,HubtownSolaris, N.
S. Pahdke Marg, Andheri
E, Mumbai-400069","M/s. Davol Inc., Subsidiary of
C.R. Bard Inc., 100 Crossings
Boulevard Warwick, Rhode
Island, USA 02886 Having
manufacturing site at
M/s. Bard Shannon Ltd., San
Geronimo Industrial Park Lot
# 1, Road # 3, KM 79.7,
Humacao, Puerto Rico 00791", Bard ,"31-1349-MD/2013-DC
(End. 02)",,MD-1349,20.02.2015,15.01.2017,,
72,"M/s. Bard India Healthcare
Pvt. Ltd., 501,5th
Floor,HubtownSolaris, N.
S. Pahdke Marg, Andheri
E, Mumbai-400069","M/s. Davol Inc., Subsidiary of
C.R. Bard Inc., 100 Crossings
Boulevard Warwick, Rhode
Island, USA 02886 Having
manufacturing site at
M/s. Bard Shannon Ltd., San
Geronimo Industrial Park Lot
# 1, Road # 3, KM 79.7,
Humacao, Puerto Rico 00791"," Max™ Light
Mesh/Mesh","31-1349-MD/2013-DC
(End. 02)",,MD-1349,20.02.2015,15.01.2017,,
73,"M/s. Bard India Healthcare
Pvt. Ltd., 501, 5th Floor,
HubTown, Solaris, N.S.
Phadke Marg, Andheri (E),
Mumbai-400069","M/s Bard Access System
Inc.., 605 N, 5600 W, Salt
lake City, Utah 84116, U.S.A
Having manufacturing site at
M/s Bard Reynosa S.A DE
C.V., Blvd. Montebello No.1",%$$%,"31-762(A)-MD/09-DC
(End.01)",,MD-762,20.02.2015,15.01.2017,,
73,"M/s. Bard India Healthcare
Pvt. Ltd., 501, 5th Floor,
HubTown, Solaris, N.S.
Phadke Marg, Andheri (E),
Mumbai-400069","M/s Bard Access System
Inc.., 605 N, 5600 W, Salt
lake City, Utah 84116, U.S.A
Having manufacturing site at
M/s Bard Reynosa S.A DE
C.V., Blvd. Montebello No.1"," Hemodialysis Catheter with
or without preloaded Stylet
","31-762(A)-MD/09-DC
(End.01)",,MD-762,20.02.2015,15.01.2017,,
73,"M/s. Bard India Healthcare
Pvt. Ltd., 501, 5th Floor,
HubTown, Solaris, N.S.
Phadke Marg, Andheri (E),
Mumbai-400069","M/s Bard Access System
Inc.., 605 N, 5600 W, Salt
lake City, Utah 84116, U.S.A
Having manufacturing site at
M/s Bard Reynosa S.A DE
C.V., Blvd. Montebello No.1"," Catheter
","31-762(A)-MD/09-DC
(End.01)",,MD-762,20.02.2015,15.01.2017,,
