S.No.,Name of Indian Agent,Name of Manufacturer,Name of the Device,File No.,,R. C. No.,"Date of
Issue","Validity of
the
Registration
Certificate",,
10,M/s. Biotronik Medical,M/s Biotronik AG Ackerstasse,1. Passeo-18 Lux /Paclitaxel,31-461-MD/2008-DC,,MD-461,25.03.2015,30.04.2017,,
,"Devices India Pvt. Ltd.,
Unit No. 805, 806 & 807,
8th Floor, Commerical
Complex DLF Tower-B
Jasola, New Delhi-110044","6, 8180 Bulach, Switzerland","reasing BTHC PTA Balloon
Catheter",(Re-Reg. 02) End. 04,,,,,,
10,"M/s. Johnson & Johnson
Ltd., Plot No. B-15/1, MIDC
Waluj, Aurangabad-431236","M/s. Ethicon Inc., Route 22,
West Somerville, New Jersey
08876-0151, USA","1. Surgical Stainless Steel
Wire (Bulk, Non-Sterile)",31-1486-MD/2014-DC,,MD-1486,25.03.2015,28.02.2018,,
10,"M/s. Bard India Healthcare
Pvt. Ltd., 501, 5th Floor,
HubTown, Solaris, N.S.
Phadke Marg, Andheri (E),
Mumbai, Tal: Andheri East
(Mumbai-Zones-5)
Mumbai-400069","M/s Bard Access System
Inc.., 605 N, 5600 W, Salt
lake City, Utah 84116, U.S.A
Having manufacturing
Premises at
M/s. Bard Healthcare
Reynosa, Bard Reynolsa S.A.
de C.V. Blvd., Montebello No.
1, Parque Industrial Colonial
Reynosa, Tamaulipas,
Mexico","1. Winged Infusion Set /
Infusion Set","31-762(A)-MD/2009-DC
(Re Reg.01) (End.02)",,MD-762(A),26.03.2015,15.01.2017,,
10,"M/s. Biomet Orthopaedic
India Pvt. Ltd., 2301,
Shanti Estate, Ghansham
Estate, National Highway
No. 8. Aslai, Tal: Daskroi
(N.A.,) Ahmedabad-Gujarat","M/s Biomet Microfixation.,
1520 Tradeport Drive,
Jacksonville, FL, 32218, USA","1. TMJ System/
Temporomandibular Joint
Implant
2. Pectus Support Bar
System(Non-
Sterile)/Retroternal System
3. Lactosorb System/
Resorbable fixation Implant
4. Cranio-maxillofacial
System (Non -Sterile)/
Cranio-maxillofacial Implant
5. HTR-PMI Implant / Patient
Matched Implant
6.TraumaOne System(Non-
Sterile)/ Oral and Cranio-
maxillofacial reconstructive
implants","31-910-MD/2010-DC
(Re Reg. 01)",,MD-910,26.03.2015,20.02.2018,,
10,"M/s. Johnson & Johsnon
Ltd. A-1/50, Room No. 2,","M/s. DePuy Orthopaeidcs
Inc., 700 Orthopaeidc Drive,","1. Femoral Augment Hinge/
S-Rom Noiles™ Rotating","31-1469-MD/2013-DC
(End.01)",,MD-1469,27.03.2015,15.10.2017,,
,"100 Shed Area, G.I.D.C.
Vapi, Tal: Pardi (Valsad)","Warsaw, Indiana 46582, USA
Having manufacturing
Premises at
M/s. DePuy Orthopaeidcs Inc,
325 Paramount Drive
Raynham, Massachusetts
02767, USA","Hinge / knee replacement
system
2. Femoral Augment Block/
S-Rom Noiles™ Rotating
Hinge / knee replacement
system",,,,,,,
11,"M/s. Biosensors
Interventional Technologies
(India) Pvt. Ltd., Plot No.
14, Shed No. A-2, GIDC,
B/H Charak Pharma,
Umbergaon, Taluka,
Umbergaon, District Valsad
Gujarat 396171","M/s Biosensors Interventional
Technologies Pvt. Ltd., Blk 10
Kaki Bukit Avenue 1,
#06/01/04, Singapore -
417942
Having manufacturing
Premises at
M/s. Biosafe SA, Rou du
Lausanne 29, 1110 Morges
Switzerland","1. Biomatrix / Drug eluting (
Biolimus A9) coronary stent
system.
2. Biomatrix Flex / Drug
eluting ( Biolimus A9)
coronary stent system.
3. Axxess / Drug eluting (
Biolimus A9) coronary stent
system",31-1516-MD/2014-DC,,MD-1516,30.03.2015,14.03.2018,,
11,"M/s. NovaBone Products
Private Limited, No.84/11-
88, Unit No. 704, 7th Floor,
Barton Tower, MG Road
Bangalore 560001","M/s. NovaBone Products
LLC, 13510, NW US Highway
441, Alachua, Florida 32615
USA","1. NovaBone Dental Bone
Graft Substitutes/Dental Bone
Graft",31-1609-MD/2014-DC,,MD-1609,31.03.2015,15.03.2018,,
11,"M/s. Fresenius Medical
Care India Pvt. Ltd., Middle
South Side Below Canteen
Plot No. A-11 & A-12,
Sipcot Industrial Park,
Irrungattukottai,
Sriperumbudur 602105","M/s Fresenius Medical Care
AG & Co.., KGaA, D-61346
Bad Hombayrg, Germany
Having manufacturing
Premises at
M/s Ruhl AG & Co.
Chemicals Fabrik KG
Hugenottenstraβe 105, 61381
Friedrichsdorf Germany","1. Puritseril 340/ Hydrogen
Peroxide : 30% + Acetic Acid
: 4.9 % + Paeracetic Acid:
4.2%
2. Citrosteril / Citric Acid:21%
with Lactic Acid and Malic
Acid ad Adjuvants",31-1168-MD-2012-DC,,MD-1168,31.03.2015,15.03.2018,,
11,"M/s. Boston Scientific India
Pvt. Ltd., C-41 Ground
Floor, Okhla Industrial
Area, Phase -II, New Delhi
- 20","M/s Boston Scientific
Corporation, 300 Boston
Scientific Way, Marlborough,
MA 01752, USA Having
manufacturing Premises at
M/s. Boston Scientific
Limted, Ballybrit Business","1. Taxus Element Monorail
Paclitaxel Eluting Coronary
Stent System / Paclitaxel
Eluting Coronary Stent
System.
2. Promus Element Monorail
Everolimus Eluting Coronary",31-1579-MD/2014-DC,,MD-1579,31.03.2015,14.03.2018,,
,,"Park, Galway, Ireland","Stent System / Everolimus
Eluting Coronary Stent
System.
3.Carotid Wallstent Monorail
Closed cell Self expanding
system/ Carotid Stent
System.
4. Express Vascular LD Pre-
mounted stent System /
Peripheral Artery Stent.
5. Wanda Ballon Dilatation
Catheter / Angioplasty
Balloon Dilataton Catheter.
6. Flextome Cutting Balloon
Microsurgical Dilatation
Devices/ Balloon Diatation
Catheter.
7. Taxus liberte Paclitaxel
Eluting Coronary Stent
System / Paclitaxel Eluting
Coronary Stent System.
8. Promus Element Plus
Monorail Everolimus Eluting
Coronary Stent System /
Everolimus Eluting Coronary
Stent System.
9. WallFlex DuoStent with
Anchor Lock Delivery Stent
System /Enteral Duodenal
Stent with Anchor Lock
Delivery Stent System
10. WallFlex Colonic Stent
with Anchor Lock Delivery
Stent System /Enteral Colonic
Stent with Anchor Lock
Delivery Stent System.
11.Wallgraft Endoprosthesis
with UNISTEP Plus Delivery
System/ Peripheral Stent",,,,,,,
,,,"System- Vascular
12.XXL Vascular Ballon
Dilatation Catheter /
Angioplasty Balloon Dilatation
Catheter.
13. XXL Esophageal Balloon
Dilatation Catheter /
Angioplasty Balloon Dilatation
catheter.
14.WallStent Uni
Endoprosthesis Self
Expanding Stent / Stent.
15. Mustang PTA Balloon
Dilatation Catheter /
Peripheral Transluminal
Angioplasty Balloon Dilatation
Catheter.
16. Symmetry Balloon
Dilatation Catheter / Balloon
Dilatation Catheter.
17. Symmetry Stiff Shaft
Balloon Dilatation Cathter /
Balloon Catheter.
18.Small Peripheral Cutting
Balloon Microsurgical
Dilatation Device /
Angioplasty Balloon.
19. 2cm Peripheral cutting
Balon microsurgical Dilatation
Device / Angioplasty Balloon.
20. OffRoad™ Re-Entry
Catheter System /
Intravascular guiding
catheter.
21. Promus premier
Everolimus Eluting Plantinum
Chromium Coronary Stent
System / Everolimus Eluting
Plantinum Chromium",,,,,,,
,,,"Coronary Stent System.
22. SYNERGY Everolimus
Eluting Platinum Chromium
Coronary Stent System /
Everolimus Eluting Pt Cr
Coronary Stent System.
23.SYNERGY™
MONORAIL™ Everolimus
Eluting Pt Cr Coronary Stent
System / Drig-eluting Stent.
24. WallFlex® Esophageal
Partially Covered Stent
System / Stent System.
25. WallFlex® Esophageal
Fully Covered Stent System /
Stent System.
26. Wallstent™ Biliary
Endoscopic Biliary
Endoprosthesis Uncovered /
Stent System.
27. Wallstent™ Biliary
Endoscopic Biliary
Endoprosthesis Partially
Uncovered / Stent System.
28.Wallstent™ RX Biliary
Endoscopic Biliary
Endoprosthesis Stent System
Uncovered / Stent System.
29.Wallstent™ RX Biliary
Endoscopic Biliary
Endoprosthesis Stent System
Partially Covered / Stent
System.
30. ULTRAFLEX Esophageal
NG Covered Distal Release
Stent System / Stent System.
31. ULTRAFLEX Esophageal
NG Covered Proximal
Release Stent System / Stent",,,,,,,
,,,"System.
32. ULTRAFLEX Esophageal
NG Uncovered Distal
Release Stent System / Stent
System.
33. ULTRAFLEX Esophageal
NG Uncovered Proximal
Release Stent System / Stent
System.
34. WallFlex™ Biliary RX
Uncovered Stent System /
Stent System.
35. WallFlex™ Biliary RX
Partially covered Stent
System / Stent System.
36. WallFlex™ Biliary RX
Fully covered Stent System /
Stent System.
37. WallFlex™ Biliary RX
Partially covered Stent
System RMV / Stent System.
38. Nephromax High
Pressure Nephrostomy
Baloon Catheter /
Nephrostomu Nalloon
Catheter.
39. Passport Balloon
Dilatation Catheter / Balloon
Dilatation Catheter.
40. UroMax Ultra Balloon
Dilatation Catheter / Balloon
Dilatation Catheter.
41. Promus Element Plus
Monorail BTK Everolimus
Eluting Stent System/ Drug
Eluting Stent System.
42. Promus Element Plus
Over the Wire BTK
Everolimus Eluting Stent",,,,,,,
,,,"System / Drug Eluting Stent
System.
43. Wallflex Biliary
Transhepatic Uncovered
Stent System/ Stent .
44. WallFlex Biliary
Transhepatic Partially
Covered Stent System/ Stent
System.",,,,,,,
11,"M/s Boston Scientific India
Pvt. Ltd., C-41, Ground
Floor, Okhla Industrial
Area, Phase-II, New Delhi
110020","M/s. Boston Scientific
Corporation, 300 Boston
Scientific Way, Marlborough,
MA 01752, USA Having
manufacturing Premises at
M/s. Teleflex Medical, Unit 7,
8, 9, Annacotty Business
Park, Annacotty, Country
Limerick, Ireland","1.Imager II Angiographic
Catheter/ Angiographic
Catheter",31-1600-MD/2014-DC,,MD-1600,31.03.2015,15.03.2018,,
11,"M/s Johnson & Johnson
Ltd., J-1, Shree Arihant
Complex, Vill Kalher,
Thane- Bhiwandi Road,
Dist. Thane, Bhivandi, Tal:
Bhiwandi -15 ( Thane
Zone5)","M/s. Ethicon LLC, Road 183
km 8.3 Industrail Area Hato,
San Lorenzo, Puerto Rico
00754, USA","Mersilene Tape / sterile
polyster white woven non-
absorbable tape","31-738 (A)-MD/2009-DC
(Re Reg.01) End.02",,MD-738,01.04.2015,29.02.2016,,
11,"M/s. Emergo (India)
Consulting Private Limited.,
H. No. 8/1, First Floor,
Vasavi Colony Kakaguda,
Near Picket,
Secunderabad, MCH
Circle-7, Mandal,
Hyderabad Dist.","M/s. Aeon Astrom Europe
B.V., J.H. Oortweg 19, 2333
CH Leiden, The Netherlands",Ologen™ / Collagen Matrix,31-1517-MD/2014-DC,,MD-1517,01.04.2015,15.03.2018,,
11,"M/s Merit Medical Systems
India Pvt. Ltd. Unit No 206-
297, H M Geneva House,
2nd Floor, No 14,","M/s Merit Medical System.,
Inc., 1600 West Merit
Parkway, South Jordan, Utah
84095, USA","1.KYPHON® Xpander™
Inflation Syringe/ Inflation
Syringe
2. Prelude® Sheath",31-1555-MD/2014-DC,,MD-1555,01.04.2015,28.02.2018,,
,"Cunningham road,
Bangalore. Pin-560052",,"Introducer/ Catheter
Introducer
3.Prelude® Pro Sheath
Introducer/ Catheter
Introducer
4. Prelude® ACT Sheath
Introducer/ Catheter
Introducer
5. Prelude Short Introducer/
Catheter Introducer",,,,,,,
11,"M/s. Stryker India Pvt. Ltd.,
Khewat No. 22, Khata No.
157, Nustkil No. 98, Killa
NO. 6, 7, 8/1, 13/1, Village
Bhondsi Distt. Gurgaon","M/s. Boston Scientific
Corporation, One Boston
Scientific Place Natick,
Massachusetts 01760-1537,
USA having manufacturing
premises at
M/s. Boston Scientific Cork
Limited, Business and
Technology Park, Model
Farm Road, Cork, Ireland","Neuro Renegade™ Hi-Flo™/
Micro Catheter",31-1359-MD/2013-DC,,MD-1359,01.04.2015,15.03.2018,,
11,"M/s. Alpha Dent Implants
Pvt. Ltd., AG -24, Unitech
Arcadia,South City-II
Gurgaon 122002","M/s. Alpha Dent Implants
Ltd., 74, Haroshet St.
P.O.Box 1454 Kiryat Bialik,
Israel 2751173","1.Dental Implants (Titanium
alloy Ti-6AI-4V ELI) / Alpha
Dent Implants
2. Superstructures - Titanium
Abutments / Alpha Dent
Implants
3.Superstructures - Titanium
Abutments / Alpha Dent
implants
4. Superstructures- Plastic
(PEEK Abutments) / Alpha
Dent Implants",31-1559-MD/2014-DC,,MD-1559,01.04.2015,15.03.2018,,
12,"M/s. Veiva Scientific India
Pvt. Ltd., No 9/5, 3rd Floor,
""Aedifice-The Venue"", 15th
Cross, 100 Feet Road, 4ht
Phase, J.P.Nagar,
Bangalore-560078","M/s BrosMed Medical Co.
Ltd. 15th Building,SMEs
Venture Park, SongShan
Lake Hi-Tech Industiral
Development Zone,
Dongguan, Gaungdong,
China","1. Artimes Balloon Dilatation
Catheter/ Coronary Dilatation
Catheter
2. Apollo Balloon Dilatation
Catheter/ Coronary Dilatation
Catheter",31-1631-MD/2015-DC,,MD-1631,07.04.2015,15.03.2018,,
12,"M/s Mn solutions, # 26 &
27, 11nd Floor, WZ 26
Nangli Jalib, B-1 Janak
Puri, New Delhi Delhi
110058","M/s kasios, 18 Chemin de la
Violette-31240 L' Union -
France","1. Kasios TCP/ Synthetic
Bone Substitute
2.PLIF KAGE RSF /
Sysnthetic Bone Substitute
3. KAGE RSF / Synthetic
Bone Substitute
4. JETOS / Synthetic Bone
Substitute
5. Kasios TCP Dental
HP/Synthetic Bone Substitute",31-1489-MD/2014-DC,,MD-1489,07.04.2015,15.03.2018,,
12,"M/s Becton Dickinson
India Pvt. Ltd., No.34,
Assisi Nagar, West
Thottam, Madhavaram,
Chennai-51","M/s. Becton Dickinson
Infusion Therapy AB,
Florettgatan 29C, PO Box
631, SE -251 06 Helsingborg,
Sweden having
manufacturing premises at
M/s Becton Dickinson
Medical (S) Pvt. Ltd., 30 Tuas
Avenue 2, Singapore 639461","1. BD Neoflon™ IV cannula/
I. V Cannula
2. BD Neoflon™ Pro IV
cannula/ I. V Cannula
3. BD Neoflon™ Pro Safety
Needle/ I. V Cannula",31-1598-MD/2014-DC,,MD-1597,07.04.2015,15.03.2018,,
12,"M/s. Zimmer India Pvt. Ltd.,
14th Floor, Tower 5B, DLF
Cyber Terrace, DLF Cyber
City, Gurgaon - 122002,
Haryana","M/s. Zimmer Inc., 1800 West
Center Street, WARSAW
INDIANA 46580, United
States Of America","1. Femoral component/
NexGen Complete Knee
Solution / Knee System
2. Articular Surface / NexGen
Complete Knee Solution /
Knee System
3. Patella Component /
NexGen Complete Knee
Solution / Knee System
4.Tibial Compoonent /
NexGen Complete Knee
Solution / Knee System
5. Stem Extensions / NexGen
Complete Knee Solution /
Knee System
6. Femoral Comonent /
Zimmer Unicompartment
Knee
7.Articular Surface / Zimmer
Unicompartment Knee","31-170-MD/2006-DC
(Re Reg. 03)",,MD-170,07.04.2015,31.07.2018,,
,,,"8. Tibial component Zimmer
Unicompartment Knee
9. Femoral Component /
Gender Solutions patello
Femoral Joint
10. Posterior Stabilized (PS)
/Persona The Personalized
Knee System / Knee
Replacement
11. Tibial Baseplate and Plug
/Persona The Personalized
Knee System
12. All Poly Patella / Persona
The Personalized Knee
System /Knee PReplacement
13. Cruciate Retaining (CR)
/Persona The Personalized
Knee System
14.Femoral Component /
Natural Knee II System
15.Patella Component /
Natural Knee II System
16. Articular Surface / Natural
Knee II System
17. Tibial Component /
Natural Knee II System
18. Shells and Screws /
Trilogy/ Acetabular System
19. Liner Trilogy/ Acetabular
System
20. Femoral Stem and
Centralizer / CPT/ Hip
System
21.Head/ Zimtron Modular
Head/ Hip System
22. Plug / Allen Medullary
Plug / Hip System
23. Shell and Dome Hote
Plug / Continuum Acetabular",,,,,,,
,,,"System
24. Liner / Longevity Highly
Cross-linked Polythylene
Liners / Acetabular System
25.Shell And Screw Hole
Plug / Trilogy IT / Acetabular
System
26. Shell and Liner /
Multipolar Bipolar Cup / Hip
System
27. Femoral Stem / Zimmer
M/L Taper Femoral Stem Hip
Prosthesis
28.Femoral Stem and Neck /
Zimmer M/L Taper Hip
Femoral Stem with Kinectiv
Technology.
29. Zimmer Maxera Cup/
Cup-Liner and Shell with
Plastic Barrier.
30. Shell Liner / Trabecular
Metal Acetabular Revision
Shell Liner
31. Cages / Trabecular Metal
Acetabular Revision Cage
32. Femoral Stem And Build-
up Blocks / Versys Hip
System Femoal Stem
Cemented Revised Calcar.
33.Femoral Stem / Versys
Hip System Versys Heritage
Hip Prosthesis
34. Head / Versys Hip
System Femoral Heads / Hip
System.
35. Femoral Stem / Versys
Hip System Femoral Stem
Beaded.
36. ZCA All Poly Acetabular",,,,,,,
,,,"Cup with Spacer/ Acetabular
System.
37. Femoral Stem / Versys
Hip System Femoral Stem
Fiber Metal Midcoat
38. Femoral Stem / Versys
Hip System Femoral Stem
Fiber Metal Taper
39.Dual Taper Insert,
Trabecular Metal Reverse
Humeral Stem/ Trebecular
Metal Reverse Shoulder
System/ Shoulder System
40.Trabecular Metal Reverse
Reverse Base Plate/
Trebecular Metal Reverse
Shoulder System/ Shoulder
System.
41. Humeral, Ulna/ Restrictor
and Rin/ Coonrad (Morrey
Total Elbow) / Elbow System.
42. Plates/Zimmer
Reconstruction system.
43. Plates & Screws / Zimmer
Plates & Screws
44. Humeral Stem, Humeral
Head & Glenoid / Bigliant
/Flatow the Complete
Shoulder Solution
45.Screw/ Magna-Fx®
Cannulated Screw Fixation
System
46. Screw/ Mini-Fx®
Cannulated Screw Fixation
System
47. Plates & Screws/ Versa
Fx® Femoral Fixation
System
48. Plates & Screw/ Zimmer®",,,,,,,
,,,"Periaticular Locking Plate
System
49. Cable, Bone Plate &
Cable Button/ cable Ready
Cable Grip System
50.Plate & Screw (Titanium)/
Zimmer Universal Locking
System
51. Plate & Screw (Stainless
Steel)/ Zimmer Universal
Locking System
52.M/DN® Intramedullary
Fixation System / Nails &n
Screws For Trauma Fixation
53. MotionLoc Screw for NCB
Polyaxial Locking Plate
System/ Screws
54.NCB Peri prosthestic Plate
System/ Screws
55. Nail &Screw(Stainless
Steel)/ Zimmer Natural Nail
System
56.Nail &
Screw(Titanium)/Zimmer
Natural Nail System
57. Herbert™ Bone Screw
System/ Screws for Trauma
Fixation",,,,,,,
12,"M/s. Heraeus Technologies
India Pvt. Ltd., Warehouse
Shad No. 3/19/2, 20/1/2,
Taj Nagar, Tehsil Farukh
Nagar, Distt.Gurgaon
Haryana","M/s Heraeus Medical GMBH,
Philipp Reis-Str. 8/13, 61273
Wehrheim Germany.","1. Palacos MV/ Palacos R /
Medium Viscoity
2. Palacos LV/ Low Viscosity
Radiopaque, polymethyl-
methacrylate (PMMA) bone
cement
3. Osteopal V/
Polymethylthacrylate (PMMA)
Bone Cement
4.Palacos R + G /High
Viscosity, radiopaque,","31-376-MD/2007-DC Re
Reg. 02",,MD-376,09.04.2015,31.03.2018,,
,,,"Polymethylthacrylate (PMMA)
Bone Cement containing
Gentamicin
5.Palacos MV + G / Medium
Viscosity, radiopaque,
Polymethylthacrylate (PMMA)
Bone Cement containing
Gentamicin
6..Palacos LV + G / Low
Viscosity, radiopaque,
Polymethylthacrylate (PMMA)
Bone Cement containing
Gentamicin",,,,,,,
12,"M/s. B L Lifesciences, 28-
D, Sector-31, Ecotech-1,
Greater Noida, Gautam
Budh nagar (U.P.)","M/s. Guangdong Baihe
Medical Technology Co., Ltd.,
3-4F Building 2, Building 3,
3-6F Building 4, No.89,
Taoyuan East Road, Nanhai,
Foshan, Guangdong
Province, P.R. China","FC-2726, FC-2524, FC-2424,
FR-2226, FR-2926, FC-3725,
FC-342906, FV-4925, FR-
2125W, FR-2224 / Central
Venous Catheter &
Accessories ( non sterile bulk
)",31-1531-MD/2014-DC,,MD-1531,09.04.2015,15.03.2018,,
12,"M/s abbott Health care Pvt.
Ltd.,
4, Corporate Park, Sion
Trambay Road,
Mumbai, Tal: Chembur
(mumbai-Zone3) Pin
400071, Maharashtra","M/s. Abbott Vascular, 3200
Lakeside Drive, Santa Clara,
California 95054, USA
Having manufacturing
premises at
M/s. Abbott Vascular Costa
Rica, 52 Calle 3, B31, Coyol
Free Zone, EI Coyol Aajuela,
Costa Rica, USA","Armada 14XT PTA / Balloon
Dilatation Catheter","31-1230-MD/2012-DC
End. 04",,MD-1230,09.04.2015,31.03.2016,,
12,"M/s. Emergo (India)
Consulting Private Limited.,
H. No. 8/1, First Floor,
Vasavi Colony Kakaguda,
Near Picket,
Secunderabad, MCH
Circle-7, Mandal,
Hyderabad Pin 500009","M/s. Laboratories URGO., 42
rue de Longvie, 21300
Chenove - France","1. UrgoClean Pad/ wound
dressing
2.UrgoTul / wound Dressing",31-1622-MD/2014-DC,,MD-1622,09.04.2015,15.03.2018,,
12,M/s. B. Braun Medical,"M/s. B. Braun Surgical SA,",1. Safil / Multifilament,31-1093-MD/2012-DC,,MD-1093,13.04.2015,31.08.2018,,
,"(India) Pvt. Ltd.., Bldg. no.
B, Gala No. 1-10, Prerna
Complex, Anjur Phata,
Dapoda Road, At Val
Village -B, Tal: Bhiwandi
(Thane Zone), Pin:421302","Carretera De Terrasa, 121
08191 Rubi (Barcelona),
Spain","Absorbable Synthetic
Surgical PGA (Poly Glycolic
Acid) Suture
2. Safil Quick / Multifilament
Absorbable Synthetic
Surgical PGA (Poly Glycolic
Acid) Suture
3. Premilence Mesh/
Reinforcement Propylene
Mesh Implant for connective
tissue
4. Monosyn/ Monofilament
Absorbable Synthetic
Surgical Suture
5. Monomax / Monofilament
Absorbable Synthetic
Surgical Poly (4
hydorxybutyrate) sature
6. Novosyn /multifilament
Absorbable Synthetic
Surgical Poly Glycolide-co-
Lactide (PGLA) sature
7. MONOPLUS /
MONOFILAMENT
Absorbable Synthetic
Surgical Poly p-dioxanone
(PDO) sature
8. Optilene Mesh/
Reinforcement Propylene
Mesh for connective tissue",(Re-Reg. 02),,,,,,
12,"M/s. Beckton Dickinson
India Private Limited,
No.34, Assisi Nagar, West
Thottam, Madhavaram,
Chennai-51","M/s. Beckton Dickinson
Medical (Singapore) Pvt. Ltd.,
30 Taus Avenue 2, Singapore
639461","1. BD Precision Glide™
Needle / Hypodermic Needles
2.BD Hypoint™ Needles/
Hypodermic Needles/
3. BD Luer-lok™ Tip
Syringes/ Hypodermic
Needles
4. BD Slip Tip (Tuberculin
Syringe) Hypodermic","31-1032-MD/2011-DC
(Re. Reg. 01",,MD-1032,13.04.2015,15.03.2018,,
,,,"Syringes
5.BD Luer-Lok™ Tip with
Precision Glide™ Needles/
Hypodermic Syringes with
Needles
6. BD Slip tip with Precision
Glide™Needles / Hypodermic
Syringes with Needles",,,,,,,
13,"M/s. Hester Diagnostics
Pvt. Ltd., Room No.9, Ist
Floor, 66, Princess Street,
Mumbai-Tal : Princess
Street (Mumbai-Zone1)
400002","M/s Biosphere Medical S.A.,
Parc des Nations - Paris Nord
2, 383 rue de la Belle Etoile,
95700, Roissy en France","Embosphere/ Embolization
Mictospheres","31-1209-MD/2012-DC
(End. 01)",,MD-1209,13.04.2015,15.03.2018,,
13,"M/s. India Medtronic Pvt.
Ltd., Plot No. 609, Survey/
Shed – 188 (Part),
Chumunda Comp., Kasheli
Distt. Thane Bhiwandi –
421301 (Maharashtra)","M/s. Medtronic Inc., 710,
Medtronic Parkway,
Minneapolis MN 55432, USA
Having manufacturing
premises at
M/s. Availmed S.A. de C.V.
(Mexico), Ave. Paseo
Reforma No. 8950 Interior
Edificio (B1, C1, E1, E2, F2,
G1) La Mesa, Tijuana, Baja
California, Mexico 22116","1. 1.SiteSeer 2. Pro-Flo /
Intravascular
(Cardiovascular)
Angiographic Catheter
2.. Everest / Sterile Inflation
Device
3. Input / Intorducer Sheath
4.Mullins / Transseptal
Catheter Introducer Set
5. Medtronic / Transseptal
catheter Inroducer Set","31-1070-MD/2011-DC
(Part-I)",,MD-1070,15.04.2015,31.03.2018,,
13,"M/s. India Medtronic
Private Limited, Plot No.
609, Survey/Shed-188
(Part), Chamunda Comp.
Kasheli Village, Dist-
Thane, Bhiwandi-421301
Maharashtra","M/s. Medtronic Inc, 710
Medtronic Parkway N.E.
Minneapolis, MN 55432, USA
Having manufacturing
premises at
M/s. Telefax Medical,
Annacotty Business Park
Annacotty Co., Limerick
Ireland","1. Attain Select/Guide
Catheter / (6238 TEL)
2. Sentrant / Introducer
Sheath with Hydrophilic
Coating
3.Micra™ Introducer /
Introducer Sheath","31-1302-MD/2013-DC
(Part I)",,MD-1302,15.04.2015,31.03.2018,,
13,"M/s. Fresenius Kabi India
Pvt. Ltd., A-3, MIDC,
Warehouse-A, Gr. & First
FL Ranjangaon Ganpati","M/s. Fresenius Kabi AG,
61346 Bad Homburg,
Germany Having
manufacturing premises at","1. PQT4920/ Composelect® /
4F-63 ml CPD
2. T4922 /Composelect®/ 5F
T&B 63 ml CPD",31-1587-MD/2014-DC,,MD-1587,15.04.2015,15.03.2018,,
,"Tal-Shirpur, Dist- Pune Pin
412220","M/s. Fresenius Kabi Horatev
CZ s.r.o., Horatev 104, 289
13 Zverinek, Czech Republic","3.CQC2820 /CompoFlow®
/4F T & B 63 ml CPD
4. C4922 /CompoFlow® / 5F
T & B 63 ml CPD",,,,,,,
13,"M/s. Emergo (India)
Consulting Private Limited,
H.No. 8/1 First Floor,
Vasavi Colony, Kakaguda,
Near picket,
Secunderabad, MCH
Circle-7 Mandal,
Hyderabad Dist. -500009","M/s. HansBiomed , 64,
Yuseong-Daero, 1628, Beon-
gil, Youseong--gu, Daejion,
Gwangyeogsi, Korea-305811","MINT™ / Absorbable
Polydioxanone Surgical
Suture",31-1605-MD/2014-DC,,MD-1605,15.04.2015,15.03.2018,,
13,"M/s. St. Jude Medical India
Pvt. Ltd., D.No.8-3-
168/B/1, Plot No. 18 & 19,
Laxmi Nagar, Behind
T.B.Hospital, MCH Circle-5
Mandal, Hyderabad","M/s. St. Jude Medical 5050
Nathan Lane North, Plymouth
Minnesota 55442 USA
Having manufacturing
premises at
M/s. St. Jude Medical Costa
Rica Ltda, Edifico #44, Calle
0 Ave. 2, Zona Franca
Coyaol, EL Foyol, Alajuela,
Costa Rica","1. PressureWire™ Aeris™
/Guidewire
2. PressureWire™ Certus™
/Guidewire",31-1594-MD/2014-DC,,MD-1594,15.04.2015,15.03.2018,,
13,"M/s. Manik Medicaids,
Shop No. 111, M.P. Mall.
M.P. Market., Near Gopal
Mandir. Pitampura, New
Delhi - 110088","M/s. Cowellmedi Co. Ltd., 48,
Hakgam-daero 221 beon-gil,
Sansang-Gu, Busan, Korea,
Republic of 617-801","1. INNO SLA Submerged
Implant System / Dental
Implant",31-1527-MD/2014-DC,,MD-1527,15.04.2015,15.03.2018,,
13,"M/s. Teleflex medical
Private Limited, Old No. 10,
No. 19, 1st Floor & Ground
Floor, Harington Road,
Chetpet, Chennai-600031","M/s. Teleflex Medical, IDA
Bussiness and technology
Park,
Athlone, Ireland Having
manufacturing premises at
M/s. Teleflex Medical Sdn.
Bhd, Lot No. PT 2577, Jalan
Perusahaan 4, Kamunting
Industrial Estate, 34600
Kamunting, Perak, Malaysia","1. Rusch Easycyst
Polyrethane / Suprapubic
Cystostomy set
2. Teleflex ISIS Tacheal
Tube/ Tracheal Tube
3. Rusch PercuQuick Set,
Rusch Percu PVC and Twist
Set / Percutaneous
Tracheostomy tube
4. Rusch Bronchial Tube /
Bronchial Tube","31-851-MD /2010-DC
(Re.Reg. 01)",,MD-851,15.04.2015,15.03.2018,,
